code;name
IIC1001;Algoritmos y Sistemas Computacionales
IIC1005;Computación: Ciencia y Tecnología del Mundo Digital
IIC100G;En Búsqueda del Bienestar: ¿Qué Nos Dice la Ciencia?
IIC1062;Introduccion a  las Aplicaciones Computacionales
IIC1103;Introducción a la Programación
IIC1253;Matemáticas Discretas
IIC2026;Visualización de Información
IIC2113;Diseño Detallado de Software
IIC2115;Programación Como Herramienta para la Ingeniería
IIC2133;Estructuras de Datos y Algoritmos
IIC2143;Ingeniería de Software
IIC2154;Proyecto de Especialidad
IIC2173;Arquitectura de Sistemas de Software
IIC2213;Lógica para Ciencias de la Computación
IIC2233;Programación Avanzada
IIC2333;Sistemas Operativos y Redes
IIC2343;Arquitectura de Computadores
IIC2413;Bases de Datos
IIC2433;Minería de Datos
IIC2440;Procesamiento de Datos Masivos
IIC2513;Tecnologías y Aplicaciones Web
IIC2552;Taller de Programacion Avanzada
IIC2613;Inteligencia Artificial
IIC2685;Robótica Móvil
IIC2713;Sistemas de Información
IIC2714;Fundamentos de Procesamiento de Imágenes
IIC2733;Modelos de Procesos
IIC2764;Conocimiento, Cultura y Tecnología
IIC2972;Trabajo Personal Dirigido
IIC2981;Trabajo Personal Dirigido
IIC2985;Investigacion o Proyecto
IIC2986;Investigacion o Proyecto
IIC2987;Investigacion o Proyecto
IIC2223;Teoría de Autómatas y Lenguajes Formales
IIC2283;Diseño y Análisis de Algoritmos
IIC2523;Sistemas Distribuidos
IIC2562;Taller de Programacion II
IIC3103;Taller de Integración
IIC3113;Gestión de Proyectos de Tecnologías de Información
IIC3143;Desarrollo de Software
IIC3182;Interfaces Humano Computador
IIC3242;Complejidad Computacional
IIC3253;Criptografía y Seguridad Computacional
IIC3284;Algoritmos y Aleatoriedad
IIC3585;Diseño Avanzado de Aplicaciones Web
IIC3697;Aprendizaje Profundo
IIC3703;Gestión de Operaciones Ti
IIC3724;Reconocimiento de Patrones
IIC3743;Estrategias y Tecnologías de Información
IIC3745;Testing
IIC3757;Minería de Procesos
IIC3800;Tópicos en Ciencia de la Computación
IIC3192;Topicos Avanzados Ingenieria Software
IIC3263;Teoría de Modelos Finitos
IIC3272;Criptomonedas y Contratos Inteligentes
IIC3380;Taller de Aplicaciones en Plataformas Moviles
IIC3533;Computación de Alto Rendimiento
IIC3633;Sistemas Recomendadores
IIC3686;Creacion de Videojuegos
IIC3692;Topicos Avanzados en Inteligencia Artificial
IIC3733;Vision por Computador
IIC3752;Tecnologias para Inteligencia de Negocios
IIC3773;Laboratorio de Resonancia Magnética
IIC3783;Procesamiento Avanzado de Imagenes